Epoch,Accuracy
traning:SGD+Momentum
1,39.49
2,51.84
3,60.91
4,65.52
5,74.68
6,75.48
8,78.37
10,80.22
12,80.72
14,80.92
17,81.99
21,83.91
29,85.09
37,86.19
48,89.03
49,89.08
52,89.24
54,89.72
65,91.27
66,92.36
77,94.00
88,94.62
89,94.84
100,95.03
102,95.06
109,95.15
118,95.17
119,95.23
121,95.31
129,95.33
130,95.41
traning:RMSprop
1,57.60
2,76.05
3,79.39
4,81.66
6,83.86
7,85.89
8,87.14
10,88.04
11,89.21
13,90.16
15,90.23
20,90.54
27,91.62
28,92.10
34,92.14
54,92.77
71,92.93
74,93.04
77,93.09
86,93.13
107,93.18
130,93.38
139,93.42
144,93.56
traning:Adam
1,92.58
2,93.01
4,93.11
7,93.14
8,93.49
21,93.53
28,93.60
36,93.78
75,93.82
79,93.92
100,93.94
traning:AdamW
1,93.24
3,93.42
5,93.43
9,93.46
10,93.48
13,93.53
15,93.59
19,93.66
21,93.69
23,93.96
traning:Adagrad
1,93.91
2,93.93
3,93.94
4,94.04
5,94.10
6,94.14
7,94.34
11,94.35
17,94.37
19,94.47
23,94.51
25,94.61
33,94.66
traning:Adadelta
1,94.40
19,94.46
30,94.51
53,94.53
55,94.54
113,94.61
124,94.63
